x,y,z
4.4069e-06,-0.095,-1.6841e-07
0.010004,-0.095,-1.6841e-07
0.0050044,-0.095,0.0086598
-0.0049956,-0.095,0.0086608
-0.0099956,-0.095,8.3159e-07
-0.0049956,-0.095,-0.0086602
0.0050044,-0.095,-0.0086612
0.020004,-0.095,-1.6841e-07
0.017324,-0.095,0.0099998
0.010004,-0.095,0.01732
4.4069e-06,-0.095,0.02
-0.0099956,-0.095,0.017321
-0.017316,-0.095,0.010001
-0.019996,-0.095,1.8316e-06
-0.017316,-0.095,-0.0099982
-0.0099956,-0.095,-0.017319
4.4069e-06,-0.095,-0.02
0.010004,-0.095,-0.017322
0.017324,-0.095,-0.010003
0.030004,-0.095,-1.6841e-07
0.028194,-0.095,0.01026
0.022984,-0.095,0.019283
0.015004,-0.095,0.02598
0.0052144,-0.095,0.029544
-0.0052056,-0.095,0.029544
-0.014996,-0.095,0.025982
-0.022976,-0.095,0.019285
-0.028186,-0.095,0.010263
-0.029996,-0.095,2.8316e-06
-0.028186,-0.095,-0.010258
-0.022976,-0.095,-0.019281
-0.014996,-0.095,-0.025979
-0.0052056,-0.095,-0.029544
0.0052144,-0.095,-0.029545
0.015004,-0.095,-0.025983
0.022984,-0.095,-0.019287
0.028194,-0.095,-0.010266
0.040004,-0.095,-1.6841e-07
0.038744,-0.095,0.0099468
0.035054,-0.095,0.01927
0.029164,-0.095,0.027381
0.021434,-0.095,0.033772
0.012364,-0.095,0.038042
0.0025144,-0.095,0.039921
-0.0074856,-0.095,0.039292
-0.017026,-0.095,0.036194
-0.025486,-0.095,0.030822
-0.032356,-0.095,0.023514
-0.037186,-0.095,0.014728
-0.039676,-0.095,0.0050168
-0.039686,-0.095,-0.0050102
-0.037186,-0.095,-0.014721
-0.032356,-0.095,-0.023508
-0.025496,-0.095,-0.030817
-0.017036,-0.095,-0.036191
-0.0074956,-0.095,-0.03929
0.0025144,-0.095,-0.039921
0.012364,-0.095,-0.038044
0.021434,-0.095,-0.033776
0.029154,-0.095,-0.027387
0.035054,-0.095,-0.019276
0.038744,-0.095,-0.0099542
0.050004,-0.095,-1.6841e-07
0.048984,-0.095,0.010065
0.045954,-0.095,0.019717
0.041044,-0.095,0.028563
0.034454,-0.095,0.036239
0.026454,-0.095,0.042431
0.017374,-0.095,0.046887
0.0075744,-0.095,0.049423
-0.0025256,-0.095,0.049936
-0.012526,-0.095,0.048405
-0.022016,-0.095,0.044892
-0.030596,-0.095,0.039541
-0.037936,-0.095,0.032571
-0.043716,-0.095,0.024268
-0.047706,-0.095,0.014972
-0.049736,-0.095,0.0050628
-0.049736,-0.095,-0.0050542
-0.047706,-0.095,-0.014963
-0.043716,-0.095,-0.02426
-0.037936,-0.095,-0.032564
-0.030606,-0.095,-0.039535
-0.022026,-0.095,-0.044887
-0.012536,-0.095,-0.048402
-0.0025356,-0.095,-0.049935
0.0075644,-0.095,-0.049424
0.017364,-0.095,-0.04689
0.026444,-0.095,-0.042436
0.034444,-0.095,-0.036245
0.041034,-0.095,-0.02857
0.045944,-0.095,-0.019726
0.048974,-0.095,-0.010074
0.060004,-0.095,-1.6841e-07
0.059144,-0.095,0.01014
0.056574,-0.095,0.019988
0.052384,-0.095,0.029261
0.046684,-0.095,0.037692
0.039644,-0.095,0.045039
0.031464,-0.095,0.051091
0.022374,-0.095,0.055673
0.012644,-0.095,0.058653
0.0025544,-0.095,0.059946
-0.0076156,-0.095,0.059514
-0.017566,-0.095,0.057371
-0.027006,-0.095,0.053577
-0.035666,-0.095,0.048242
-0.043306,-0.095,0.041519
-0.049706,-0.095,0.033602
-0.054666,-0.095,0.024718
-0.058056,-0.095,0.015124
-0.059776,-0.095,0.0050938
-0.059776,-0.095,-0.0050832
-0.058066,-0.095,-0.015113
-0.054676,-0.095,-0.024708
-0.049706,-0.095,-0.033593
-0.043316,-0.095,-0.041511
-0.035676,-0.095,-0.048236
-0.027016,-0.095,-0.053572
-0.017576,-0.095,-0.057368
-0.0076256,-0.095,-0.059513
0.0025444,-0.095,-0.059946
0.012634,-0.095,-0.058655
0.022364,-0.095,-0.055677
0.031454,-0.095,-0.051097
0.039634,-0.095,-0.045047
0.046684,-0.095,-0.037701
0.052384,-0.095,-0.029271
0.056574,-0.095,-0.019998
0.059144,-0.095,-0.010151
0.070004,-0.095,-1.6841e-07
0.069254,-0.095,0.010192
0.067034,-0.095,0.020166
0.063384,-0.095,0.029711
0.058384,-0.095,0.038623
0.052144,-0.095,0.046711
0.044784,-0.095,0.053804
0.036474,-0.095,0.05975
0.027384,-0.095,0.064423
0.017714,-0.095,0.067723
0.0076644,-0.095,0.06958
-0.0025456,-0.095,0.069953
-0.012706,-0.095,0.068836
-0.022596,-0.095,0.066252
-0.031996,-0.095,0.062256
-0.040726,-0.095,0.056933
-0.048576,-0.095,0.050397
-0.055396,-0.095,0.042786
-0.061036,-0.095,0.034264
-0.065376,-0.095,0.025011
-0.068316,-0.095,0.015226
-0.069806,-0.095,0.0051158
-0.069806,-0.095,-0.0051032
-0.068326,-0.095,-0.015213
-0.065376,-0.095,-0.024999
-0.061046,-0.095,-0.034253
-0.055406,-0.095,-0.042776
-0.048586,-0.095,-0.050388
-0.040736,-0.095,-0.056925
