X,Y,Z,Qw,Qx,Qy,Qz,clump_type
-20,0,0,-0,0,0,0,0
-19.9499165275459,0,0,-0,0,0,0,1
-19.8998330550918,0,0,-0,0,0,0,2
-19.8497495826377,0,0,-0,0,0,0,3
-19.7996661101836,0,0,-0,0,0,0,4
-19.7495826377295,0,0,-0,0,0,0,5
-19.6994991652755,0,0,-0,0,0,0,6
-19.6494156928214,0,0,-0,0,0,0,7
-19.5993322203673,0,0,-0,0,0,0,8
-19.5492487479132,0,0,-0,0,0,0,9
-19.4991652754591,0,0,-0,0,0,0,10
-19.449081803005,0,0,-0,0,0,0,11
-19.3989983305509,0,0,-0,0,0,0,12
-19.3489148580968,0,0,-0,0,0,0,13
-19.2988313856427,0,0,-0,0,0,0,14
-19.2487479131886,0,0,-0,0,0,0,15
-19.1986644407346,0,0,-0,0,0,0,16
-19.1485809682805,0,0,-0,0,0,0,17
-19.0984974958264,0,0,-0,0,0,0,18
-19.0484140233723,0,0,-0,0,0,0,19
-18.9983305509182,0,0,-0,0,0,0,20
-18.9482470784641,0,0,-0,0,0,0,21
-18.89816360601,0,0,-0,0,0,0,22
-18.8480801335559,0,0,-0,0,0,0,23
-18.7979966611018,0,0,-0,0,0,0,24
-18.7479131886477,0,0,-0,0,0,0,25
-18.6978297161937,0,0,-0,0,0,0,26
-18.6477462437396,0,0,-0,0,0,0,27
-18.5976627712855,0,0,-0,0,0,0,28
-18.5475792988314,0,0,-0,0,0,0,29
-18.4974958263773,0,0,-0,0,0,0,30
-18.4474123539232,0,0,-0,0,0,0,31
-18.3973288814691,0,0,-0,0,0,0,32
-18.347245409015,0,0,-0,0,0,0,33
-18.2971619365609,0,0,-0,0,0,0,34
-18.2470784641068,0,0,-0,0,0,0,35
-18.1969949916528,0,0,-0,0,0,0,36
-18.1469115191987,0,0,-0,0,0,0,37
-18.0968280467446,0,0,-0,0,0,0,38
-18.0467445742905,0,0,-0,0,0,0,39
-17.9966611018364,0,0,-0,0,0,0,40
-17.9465776293823,0,0,-0,0,0,0,41
-17.8964941569282,0,0,-0,0,0,0,42
-17.8464106844741,0,0,-0,0,0,0,43
-17.79632721202,0,0,-0,0,0,0,44
-17.7462437395659,0,0,-0,0,0,0,45
-17.6961602671119,0,0,-0,0,0,0,46
-17.6460767946578,0,0,-0,0,0,0,47
-17.5959933222037,0,0,-0,0,0,0,48
-17.5459098497496,0,0,-0,0,0,0,49
-17.4958263772955,0,0,-0,0,0,0,50
-17.4457429048414,0,0,-0,0,0,0,51
-17.3956594323873,0,0,-0,0,0,0,52
-17.3455759599332,0,0,-0,0,0,0,53
-17.2954924874791,0,0,-0,0,0,0,54
-17.245409015025,0,0,-0,0,0,0,55
-17.195325542571,0,0,-0,0,0,0,56
-17.1452420701169,0,0,-0,0,0,0,57
-17.0951585976628,0,0,-0,0,0,0,58
-17.0450751252087,0,0,-0,0,0,0,59
-16.9949916527546,0,0,-0,0,0,0,60
-16.9449081803005,0,0,-0,0,0,0,61
-16.8948247078464,0,0,-0,0,0,0,62
-16.8447412353923,0,0,-0,0,0,0,63
-16.7946577629382,0,0,-0,0,0,0,64
-16.7445742904841,0,0,-0,0,0,0,65
-16.6944908180301,0,0,-0,0,0,0,66
-16.644407345576,0,0,-0,0,0,0,67
-16.5943238731219,0,0,-0,0,0,0,68
-16.5442404006678,0,0,-0,0,0,0,69
-16.4941569282137,0,0,-0,0,0,0,70
-16.4440734557596,0,0,-0,0,0,0,71
-16.3939899833055,0,0,-0,0,0,0,72
-16.3439065108514,0,0,-0,0,0,0,73
-16.2938230383973,0,0,-0,0,0,0,74
-16.2437395659432,0,0,-0,0,0,0,75
-16.1936560934891,0,0,-0,0,0,0,76
-16.1435726210351,0,0,-0,0,0,0,77
-16.093489148581,0,0,-0,0,0,0,78
-16.0434056761269,0,0,-0,0,0,0,79
-15.9933222036728,0,0,-0,0,0,0,80
-15.9432387312187,0,0,-0,0,0,0,81
-15.8931552587646,0,0,-0,0,0,0,82
