X,Y,Z,Qw,Qx,Qy,Qz,clump_type
0.55,0.55,0.125714285714286,0,0,0,0,0
0.6,0.6,0.0514285714285714,0,0,0,0,1
0.65,0.65,-0.0228571428571429,0,0,-0,0,2
0.7,0.7,-0.0971428571428571,0,0,-0,0,3
0.75,0.75,-0.171428571428571,0,0,-0,0,4
0.8,0.8,-0.245714285714286,0,0,-0,0,5
0.85,0.85,-0.32,0,0,-0,0,6
0.9,0.9,-0.394285714285714,0,0,-0,0,7
0.95,0.95,-0.468571428571429,0,0,-0,0,8
1,1,-0.542857142857143,0,0,-0,0,9
1.05,1.05,-0.617142857142857,0,0,-0,0,10
1.1,1.1,-0.691428571428572,0,0,-0,0,11
1.15,1.15,-0.765714285714286,0,0,-0,0,12
1.2,1.2,-0.84,0,0,-0,0,13
1.25,1.25,-0.914285714285714,0,0,-0,0,14
1.3,1.3,-0.988571428571428,0,0,-0,0,15
1.35,1.35,-1.06285714285714,0,0,-0,0,16
1.4,1.4,-1.13714285714286,0,0,-0,0,17
1.45,1.45,-1.21142857142857,0,0,-0,0,18
1.5,1.5,-1.28571428571429,0,0,-0,0,19
1.55,1.55,-1.36,0,0,-0,0,20
1.6,1.6,-1.43428571428571,0,0,-0,0,21
1.65,1.65,-1.50857142857143,0,0,-0,0,22
1.7,1.7,-1.58285714285714,0,0,-0,0,23
1.75,1.75,-1.65714285714286,0,0,-0,0,24
1.8,1.8,-1.73142857142857,0,0,-0,0,25
1.85,1.85,-1.80571428571429,0,0,-0,0,26
1.9,1.9,-1.88,0,0,-0,0,27
1.95,1.95,-1.95428571428571,0,0,-0,0,28
2,2,-2.02857142857143,0,0,-0,0,29
2.05,2.05,-2.10285714285714,0,0,-0,0,30
2.1,2.1,-2.17714285714286,0,0,-0,0,31
2.15,2.15,-2.25142857142857,0,0,-0,0,32
2.2,2.2,-2.32571428571429,0,0,-0,0,33
2.25,2.25,-2.4,0,0,-0,0,34
2.3,2.3,-2.47428571428571,0,0,-0,0,35
2.35,2.35,-2.54857142857143,0,0,-0,0,36
2.4,2.4,-2.62285714285714,0,0,-0,0,37
2.45,2.45,-2.69714285714286,0,0,-0,0,38
2.5,2.5,-2.77142857142857,0,0,-0,0,39
2.55,2.55,-2.84571428571429,0,0,-0,0,40
2.6,2.6,-2.92,0,0,-0,0,41
2.65,2.65,-2.99428571428571,0,0,-0,0,42
2.7,2.7,-3.06857142857143,0,0,-0,0,43
2.75,2.75,-3.14285714285714,0,0,-0,0,44
2.8,2.8,-3.21714285714286,0,0,-0,0,45
2.85,2.85,-3.29142857142857,0,0,-0,0,46
2.9,2.9,-3.36571428571429,0,0,-0,0,47
2.95,2.95,-3.44,0,0,-0,0,48
3,3,-3.51428571428571,0,0,-0,0,49
3.05,3.05,-3.58857142857143,0,0,-0,0,50
3.1,3.1,-3.66285714285714,0,0,-0,0,51
3.15,3.15,-3.73714285714286,0,0,-0,0,52
3.2,3.2,-3.81142857142857,0,0,-0,0,53
3.25,3.25,-3.88571428571429,0,0,-0,0,54
3.3,3.3,-3.96,0,0,-0,0,55
3.35,3.35,-4.03428571428571,0,0,-0,0,56
3.4,3.4,-4.10857142857143,0,0,-0,0,57
3.45,3.45,-4.18285714285714,0,0,-0,0,58
3.5,3.5,-4.25714285714286,0,0,-0,0,59
3.55,3.55,-4.33142857142857,0,0,-0,0,60
3.6,3.6,-4.40571428571429,0,0,-0,0,61
3.65,3.65,-4.48,0,0,-0,0,62
3.7,3.7,-4.55428571428571,0,0,-0,0,63
3.75,3.75,-4.62857142857143,0,0,-0,0,64
3.8,3.8,-4.70285714285714,0,0,-0,0,65
3.85,3.85,-4.77714285714286,0,0,-0,0,66
3.9,3.9,-4.85142857142857,0,0,-0,0,67
3.95,3.95,-4.92571428571429,0,0,-0,0,68
-0.55,0.55,0.125714285714286,-0,0,0,0,69
-0.6,0.6,0.0514285714285714,-0,0,0,0,70
-0.65,0.65,-0.0228571428571429,-0,0,-0,0,71
-0.7,0.7,-0.0971428571428571,-0,0,-0,0,72
-0.75,0.75,-0.171428571428571,-0,0,-0,0,73
-0.8,0.8,-0.245714285714286,-0,0,-0,0,74
-0.85,0.85,-0.32,-0,0,-0,0,75
-0.9,0.9,-0.394285714285714,-0,0,-0,0,76
-0.95,0.95,-0.468571428571429,-0,0,-0,0,77
-1,1,-0.542857142857143,-0,0,-0,0,78
-1.05,1.05,-0.617142857142857,-0,0,-0,0,79
-1.1,1.1,-0.691428571428572,-0,0,-0,0,80
-1.15,1.15,-0.765714285714286,-0,0,-0,0,81
-1.2,1.2,-0.84,-0,0,-0,0,82
-1.25,1.25,-0.914285714285714,-0,0,-0,0,83
-1.3,1.3,-0.988571428571428,-0,0,-0,0,84
-1.35,1.35,-1.06285714285714,-0,0,-0,0,85
-1.4,1.4,-1.13714285714286,-0,0,-0,0,86
-1.45,1.45,-1.21142857142857,-0,0,-0,0,87
-1.5,1.5,-1.28571428571429,-0,0,-0,0,88
-1.55,1.55,-1.36,-0,0,-0,0,89
-1.6,1.6,-1.43428571428571,-0,0,-0,0,90
-1.65,1.65,-1.50857142857143,-0,0,-0,0,91
-1.7,1.7,-1.58285714285714,-0,0,-0,0,92
-1.75,1.75,-1.65714285714286,-0,0,-0,0,93
-1.8,1.8,-1.73142857142857,-0,0,-0,0,94
-1.85,1.85,-1.80571428571429,-0,0,-0,0,95
-1.9,1.9,-1.88,-0,0,-0,0,96
-1.95,1.95,-1.95428571428571,-0,0,-0,0,97
-2,2,-2.02857142857143,-0,0,-0,0,98
-2.05,2.05,-2.10285714285714,-0,0,-0,0,99
-2.1,2.1,-2.17714285714286,-0,0,-0,0,100
-2.15,2.15,-2.25142857142857,-0,0,-0,0,101
-2.2,2.2,-2.32571428571429,-0,0,-0,0,102
-2.25,2.25,-2.4,-0,0,-0,0,103
-2.3,2.3,-2.47428571428571,-0,0,-0,0,104
-2.35,2.35,-2.54857142857143,-0,0,-0,0,105
-2.4,2.4,-2.62285714285714,-0,0,-0,0,106
-2.45,2.45,-2.69714285714286,-0,0,-0,0,107
-2.5,2.5,-2.77142857142857,-0,0,-0,0,108
-2.55,2.55,-2.84571428571429,-0,0,-0,0,109
-2.6,2.6,-2.92,-0,0,-0,0,110
-2.65,2.65,-2.99428571428571,-0,0,-0,0,111
-2.7,2.7,-3.06857142857143,-0,0,-0,0,112
-2.75,2.75,-3.14285714285714,-0,0,-0,0,113
-2.8,2.8,-3.21714285714286,-0,0,-0,0,114
-2.85,2.85,-3.29142857142857,-0,0,-0,0,115
-2.9,2.9,-3.36571428571429,-0,0,-0,0,116
-2.95,2.95,-3.44,-0,0,-0,0,117
-3,3,-3.51428571428571,-0,0,-0,0,118
-3.05,3.05,-3.58857142857143,-0,0,-0,0,119
