X,Y,Z,r,absv
-0.950628,-0.483697,-0.483992,0.016,0.123256
-0.957215,-0.47169,-0.483957,0.016,0.123256
-0.944815,-0.471704,-0.484028,0.016,0.123256
-0.896595,-0.483944,-0.483988,0.016,0.145601
-0.903503,-0.472119,-0.483823,0.016,0.145601
-0.891107,-0.471799,-0.483875,0.016,0.145601
-0.842605,-0.483939,-0.48399,0.016,0.142503
-0.84952,-0.472119,-0.483844,0.016,0.142503
-0.837125,-0.471791,-0.483866,0.016,0.142503
-0.788591,-0.483944,-0.483997,0.016,0.137258
-0.7955,-0.47212,-0.483846,0.016,0.137258
-0.783104,-0.471798,-0.483867,0.016,0.137258
-0.73465,-0.483951,-0.483981,0.016,0.146943
-0.741557,-0.472126,-0.483838,0.016,0.146943
-0.729161,-0.471806,-0.483866,0.016,0.146943
-0.680589,-0.483916,-0.483983,0.016,0.143253
-0.687509,-0.472098,-0.483834,0.016,0.143253
-0.675113,-0.471765,-0.48388,0.016,0.143253
-0.626636,-0.483958,-0.483988,0.016,0.14728
-0.633524,-0.472122,-0.483834,0.016,0.14728
-0.621128,-0.471822,-0.483871,0.016,0.14728
-0.572631,-0.483964,-0.483996,0.016,0.137631
-0.579529,-0.472134,-0.483844,0.016,0.137631
-0.567133,-0.471822,-0.483883,0.016,0.137631
-0.518612,-0.483922,-0.483983,0.016,0.146992
-0.525525,-0.4721,-0.483844,0.016,0.146992
-0.51313,-0.471774,-0.483871,0.016,0.146992
-0.464581,-0.483913,-0.483982,0.016,0.135037
-0.471513,-0.472103,-0.483838,0.016,0.135037
-0.459118,-0.471757,-0.483837,0.016,0.135037
-0.410571,-0.483932,-0.483997,0.016,0.135849
-0.417488,-0.472113,-0.483841,0.016,0.135849
-0.405092,-0.471783,-0.483861,0.016,0.135849
-0.356611,-0.483936,-0.483983,0.016,0.1436
-0.363524,-0.472115,-0.483839,0.016,0.1436
-0.351128,-0.471789,-0.48386,0.016,0.1436
-0.302662,-0.483979,-0.48399,0.016,0.146797
-0.309542,-0.472138,-0.483828,0.016,0.146797
-0.297146,-0.471846,-0.483896,0.016,0.146797
-0.248594,-0.483912,-0.48398,0.016,0.142662
-0.255513,-0.472094,-0.483836,0.016,0.142662
-0.243118,-0.471761,-0.483874,0.016,0.142662
-0.194614,-0.483943,-0.483986,0.016,0.146428
-0.201517,-0.472116,-0.483832,0.016,0.146428
-0.189121,-0.4718,-0.483862,0.016,0.146428
-0.140582,-0.483941,-0.483997,0.016,0.137734
-0.147505,-0.472125,-0.483852,0.016,0.137734
-0.13511,-0.471788,-0.483865,0.016,0.137734
-0.0866089,-0.483922,-0.483979,0.016,0.143536
-0.0935318,-0.472106,-0.483834,0.016,0.143536
-0.0811363,-0.47177,-0.48384,0.016,0.143536
-0.0326755,-0.483972,-0.483999,0.016,0.14576
-0.0395523,-0.472129,-0.483868,0.016,0.14576
-0.0271557,-0.471842,-0.483844,0.016,0.14576
0.0213984,-0.483943,-0.483985,0.016,0.147448
0.0144914,-0.472118,-0.483817,0.016,0.147448
0.0268871,-0.471798,-0.483867,0.016,0.147448
0.0753866,-0.483946,-0.483987,0.016,0.143819
0.0684904,-0.472115,-0.483827,0.016,0.143819
0.0808865,-0.471806,-0.483871,0.016,0.143819
0.12945,-0.4839,-0.483976,0.016,0.131195
0.122518,-0.47209,-0.483802,0.016,0.131195
0.134913,-0.471743,-0.483883,0.016,0.131195
0.183435,-0.483899,-0.483989,0.016,0.134116
0.176502,-0.47209,-0.483848,0.016,0.134116
0.188897,-0.471742,-0.483864,0.016,0.134116
0.237333,-0.483969,-0.483989,0.016,0.151465
0.230457,-0.472126,-0.483833,0.016,0.151465
0.242854,-0.471838,-0.483864,0.016,0.151465
0.29148,-0.483888,-0.483985,0.016,0.125632
0.284537,-0.472084,-0.483814,0.016,0.125632
0.296932,-0.471726,-0.483875,0.016,0.125632
0.345429,-0.483904,-0.483982,0.016,0.137316
0.338509,-0.472087,-0.483826,0.016,0.137316
0.350905,-0.471752,-0.483876,0.016,0.137316
0.399328,-0.483967,-0.483988,0.016,0.151336
0.392442,-0.472129,-0.48385,0.016,0.151336
0.404839,-0.471832,-0.483865,0.016,0.151336
0.453389,-0.483941,-0.483985,0.016,0.141638
0.446486,-0.472114,-0.483831,0.016,0.141638
0.458882,-0.471797,-0.483871,0.016,0.141638
0.507317,-0.483984,-0.483992,0.016,0.151312
0.500449,-0.472136,-0.483842,0.016,0.151312
0.512846,-0.471857,-0.483881,0.016,0.151312
0.561451,-0.483887,-0.483975,0.016,0.126742
