amplitude,wave_number,p_derivation,height,thickness,grouser_num,wheel_rad,wheel_width,slope,wheel_mass,test_num,time,energy,force_x,force_y,slip,runtime,efficiency,z_advance,steer_slip,success
0.0127013,4,0.0982089,0.0422343,0.0154293,21,0.293605,0.147464,9.77111,99.3289,1,4.36,635.78,0.261542,0.164859686300738,0.524394,1620.57,0.153388,0.100082,0.197151,1
0.0220348,1,0.287855,0.0673613,0.0163031,11,0.453089,0.389369,13.985,44.0081,3,1.06,88.0526,0.139125,0.169189500586354,0.149306,863.557,0.494073,0.10077,-0.00892019,1
0.0265472,3,-0.173609,0.0451579,0.0228968,19,0.251583,0.103934,14.9541,119.163,4,8.6201,1541.43,-0.259241,0.142146757356654,0.810615,2722.1,0.0758418,0.100005,0.436657,1
0.0282774,3,0.29732,0.0753646,0.0196504,18,0.170528,0.150866,8.79449,120.731,5,9.38012,1426.52,-0.328778,0.172222201536138,0.714269,2897.07,0.0831101,0.100102,0.439836,1
0.0239122,2,0.161007,0.0166359,0.0100383,22,0.422032,0.449722,12.5027,46.245,6,1.53,100.583,0.188854,0.160900332614408,0.195043,957.356,0.452993,0.100435,0.0154335,1
0.00697875,2,0.197163,0.0575537,0.0207776,28,0.320352,0.17794,7.95814,43.2301,7,2.58,136.347,0.107663,0.207410606120017,0.159273,1214.16,0.311855,0.100264,0.0640401,1
0.0171764,3,-0.155534,0.0699959,0.0118458,26,0.317362,0.306616,10.4128,78.4334,8,2.58,261.894,-0.152533,0.186906789254605,0.307959,1205.29,0.293798,0.100001,0.129435,1
0.00319103,4,-0.168918,0.0117197,0.010295,27,0.349571,0.256336,6.13621,106.795,9,5.44003,606.667,-0.180772,0.105210765392688,0.404414,1916.55,0.172866,0.100101,0.191992,1
0.0168904,2,-0.0152996,0.0117144,0.0243672,20,0.456959,0.296571,7.59106,27.7751,10,2.27,56.8731,0.038001,0.15719166703817,0.10829,1157.95,0.480325,0.100258,0.0379687,1
0.0243157,3,0.163905,0.0226792,0.0198295,8,0.435895,0.203757,6.4603,82.3217,11,3.52,416.551,0.415569,0.163750557398088,0.356104,1520,0.194342,0.100243,0.140054,1
0.0185904,1,0.0408456,0.0268091,0.0152176,13,0.304937,0.283077,7.08583,69.491,12,3.99,263.433,0.333263,0.100449942762042,0.251671,1520.91,0.259188,0.100158,0.10208,1
0.0169715,4,-0.0829806,0.0782911,0.0225598,16,0.493465,0.349507,5.51143,96.6242,13,2.53,323.872,0.666905,0.190340921277151,0.0999629,1301.15,0.292776,0.100035,0.0563598,1
0.0278188,2,-0.034799,0.0505655,0.023546,8,0.360294,0.222442,10.8448,30.2629,14,2.11,73.3034,0.0177892,0.174241665669038,0.230961,1066,0.406417,0.10035,0.0914804,1
0.0094923,1,-0.297073,0.0783202,0.0114025,14,0.305381,0.216168,14.4891,119.297,15,2.51,474.489,-0.118363,0.176364496606637,0.480215,1170.91,0.247134,0.100198,0.187389,1
